city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Cherskiy,RU,68.75,161.3,52.43,80,0,3.0,clear sky
135,Contai,IN,21.7786,87.7536,77.29,93,100,16.8,moderate rain
136,Necochea,AR,-38.5473,-58.7368,54.99,57,89,15.99,overcast clouds
137,Alanya,TR,36.5438,31.9998,84.33,78,25,2.91,scattered clouds
138,Saldanha,ZA,-33.0117,17.9442,57.25,93,100,4.65,overcast clouds
139,Pacifica,US,37.6138,-122.4869,77.67,73,20,11.5,few clouds
140,Mitu,CO,1.1983,-70.1733,85.39,62,73,3.96,broken clouds
141,Saint-Philippe,RE,-21.3585,55.7679,67.59,77,65,16.98,broken clouds
142,Tiksi,RU,71.6872,128.8694,48.54,94,97,5.57,overcast clouds
143,Nanortalik,GL,60.1432,-45.2371,45.75,76,63,7.58,broken clouds
144,Roebourne,AU,-20.7833,117.1333,64.18,28,0,10.76,clear sky
145,Bambanglipuro,ID,-7.95,110.2833,76.35,91,61,7.9,broken clouds
146,Pevek,RU,69.7008,170.3133,36.28,97,78,5.06,broken clouds
147,Bandarbeyla,SO,9.4942,50.8122,77.88,81,82,33.04,broken clouds
148,Salinas,US,36.6777,-121.6555,80.01,59,0,8.05,clear sky
149,Hithadhoo,MV,-0.6,73.0833,82.36,73,64,8.01,broken clouds
150,Port Hardy,CA,50.6996,-127.4199,63.93,78,36,2.71,scattered clouds
151,Fengcheng,CN,40.4536,124.0717,62.1,82,0,0.87,clear sky
152,Kjollefjord,NO,70.9457,27.3465,58.82,88,75,13.8,light intensity drizzle
153,Pecos,US,31.4229,-103.4932,95.09,26,40,8.05,scattered clouds
154,Tepalcatepec,MX,19.1833,-102.85,86.16,59,99,2.57,overcast clouds
155,Eskil,TR,38.4017,33.4131,76.41,50,3,18.03,clear sky
156,Atuona,PF,-9.8,-139.0333,77.59,77,12,21.9,few clouds
157,Rafraf,TN,37.1904,10.1837,82.72,68,1,10.92,clear sky
158,Ancud,CL,-41.8697,-73.8203,51.22,90,100,11.74,light rain
159,Hearst,CA,49.6835,-83.6665,69.51,47,23,11.41,few clouds
160,Akyab,MM,20.15,92.9,78.26,88,96,5.95,overcast clouds
161,Samarai,PG,-10.6167,150.6667,78.01,75,99,16.64,overcast clouds
162,Atar,MR,20.5169,-13.0499,109.45,18,3,6.91,dust
163,Yeniseysk,RU,58.4497,92.1703,56.53,90,52,3.51,broken clouds
164,Port Moresby,PG,-9.4431,147.1797,72.82,88,20,8.05,few clouds
165,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.47,20,0,5.21,clear sky
166,Carnarvon,AU,-24.8667,113.6333,59.05,52,0,16.22,clear sky
167,Hima,UG,0.2958,30.1804,76.12,53,100,1.48,overcast clouds
168,Gladstone,AU,-23.85,151.25,58.93,77,21,5.75,few clouds
169,Kaitangata,NZ,-46.2817,169.8464,37.4,85,97,1.41,overcast clouds
170,Cap Malheureux,MU,-19.9842,57.6142,70.47,60,47,10.0,scattered clouds
171,Gusinoye Ozero,RU,51.1144,106.2614,58.89,68,100,5.66,overcast clouds
172,Peachland,CA,49.7665,-119.7357,91.8,23,92,2.89,overcast clouds
173,Liebling,RO,45.5775,21.3217,78.94,47,16,13.8,few clouds
174,Charlestown,AU,-32.95,151.6667,50.41,94,59,3.29,broken clouds
175,Tres Lagoas,BR,-20.7511,-51.6783,66.51,40,9,12.64,clear sky
176,Camana,PE,-16.6228,-72.7111,63.88,71,31,6.69,scattered clouds
177,Cabo San Lucas,MX,22.8909,-109.9124,95.61,65,20,10.36,few clouds
178,Saint George,US,37.1041,-113.5841,92.43,39,0,4.0,clear sky
179,Lavumisa,SZ,-27.31,31.892,66.49,64,0,2.82,clear sky
180,Vostok,RU,46.4856,135.8833,55.09,94,95,6.26,overcast clouds
181,Deputatskiy,RU,69.3,139.9,48.38,86,4,1.01,clear sky
182,Novoagansk,RU,61.9449,76.6625,59.22,64,82,5.75,broken clouds
183,Vysokogornyy,RU,50.1167,139.15,51.22,94,78,3.09,broken clouds
184,Christchurch,NZ,-43.5333,172.6333,39.9,79,100,9.22,overcast clouds
185,Maniitsoq,GL,65.4167,-52.9,43.09,89,100,4.45,overcast clouds
186,Olinda,BR,-8.0089,-34.8553,80.33,65,20,10.36,few clouds
187,Kishtwar,IN,33.3167,75.7667,70.61,94,65,1.05,broken clouds
188,Barrow,US,71.2906,-156.7887,44.62,93,100,12.66,light rain
189,Omboue,GA,-1.5746,9.2618,72.48,84,75,9.89,broken clouds
190,Tecoanapa,MX,16.5167,-98.75,85.3,68,100,8.1,overcast clouds
191,Hvolsvollur,IS,63.7533,-20.2243,52.47,76,88,11.1,overcast clouds
192,Morondava,MG,-20.2833,44.2833,70.83,71,0,13.51,clear sky
193,Kruisfontein,ZA,-34.0033,24.7314,56.88,90,100,4.72,overcast clouds
194,Kashira,RU,54.8444,38.1669,61.88,88,100,4.76,overcast clouds
195,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,75,5.75,light rain
196,Molina,CL,-35.1167,-71.2833,60.53,51,0,2.3,clear sky
197,Muscat,OM,23.6139,58.5922,90.55,67,97,9.31,overcast clouds
198,Skjervoy,NO,70.0311,20.9714,59.0,89,100,7.74,overcast clouds
199,Pembroke,CA,45.8168,-77.1162,78.19,56,1,4.81,clear sky
200,Lorengau,PG,-2.0226,147.2712,80.31,80,100,7.07,overcast clouds
201,Nemuro,JP,43.3236,145.575,65.89,99,98,11.68,overcast clouds
202,Lompoc,US,34.6391,-120.4579,86.68,65,0,10.36,clear sky
203,Bengkulu,ID,-3.8004,102.2655,75.51,90,39,4.56,scattered clouds
204,Constitucion,CL,-35.3333,-72.4167,56.62,60,0,9.55,clear sky
205,Dikson,RU,73.5069,80.5464,41.94,96,100,10.11,overcast clouds
206,Shimoda,JP,34.6667,138.95,77.11,87,100,4.61,overcast clouds
207,Gornyy,RU,55.1153,83.9059,60.1,77,9,6.67,clear sky
208,Suntar,RU,62.1444,117.6319,55.9,86,93,4.76,overcast clouds
209,Galle,LK,6.0367,80.217,77.27,90,45,6.6,scattered clouds
210,Vaitape,PF,-16.5167,-151.75,76.44,73,0,5.3,light rain
211,Pemba,MZ,-12.974,40.5178,75.45,71,0,10.49,clear sky
212,Shumskiy,RU,54.8318,99.1328,56.8,97,86,4.23,light rain
213,Mayo,US,38.8876,-76.5119,93.94,72,18,7.0,few clouds
214,Sioux Lookout,CA,50.1001,-91.917,68.02,42,19,13.02,few clouds
215,Inhambane,MZ,-23.865,35.3833,69.78,88,20,4.61,few clouds
216,Qaqortoq,GL,60.7167,-46.0333,47.48,65,97,5.86,overcast clouds
217,Cairns,AU,-16.9167,145.7667,68.07,93,100,10.36,light rain
218,Perth,AU,-31.9333,115.8333,48.34,93,0,0.0,clear sky
219,Faanui,PF,-16.4833,-151.75,76.44,73,0,5.37,light rain
220,Roald,NO,62.5833,6.1333,71.17,63,75,28.77,light rain
221,Macapa,BR,0.0389,-51.0664,91.38,52,40,1.14,scattered clouds
222,Mahebourg,MU,-20.4081,57.7,70.25,52,40,18.41,scattered clouds
223,Cheremukhovo,RU,60.3484,59.9851,61.5,98,86,1.19,moderate rain
224,Amasya,TR,40.6667,35.8333,76.68,71,2,5.61,clear sky
225,Xichang,CN,27.8964,102.2634,66.85,85,97,2.21,overcast clouds
226,Chuy,UY,-33.6971,-53.4616,55.63,62,1,8.14,clear sky
227,Imbituba,BR,-28.24,-48.6703,60.85,99,100,15.99,overcast clouds
228,Poya,NC,-21.35,165.15,61.74,69,4,8.43,clear sky
229,Orissaare,EE,58.5592,23.0826,66.15,71,81,8.84,broken clouds
