City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Hearst,CA,69.51,few clouds,49.6835,-83.6665,Companion
160,Akyab,MM,78.26,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
161,Samarai,PG,78.01,overcast clouds,-10.6167,150.6667,Nuli Sapi
163,Yeniseysk,RU,56.53,broken clouds,58.4497,92.1703,"""Domino"""
164,Port Moresby,PG,72.82,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
166,Carnarvon,AU,59.05,clear sky,-24.8667,113.6333,Hospitality Carnarvon
167,Hima,UG,76.12,overcast clouds,0.2958,30.1804,Bike bar and Lodge
168,Gladstone,AU,58.93,few clouds,-23.85,151.25,Highpoint International Hotel
169,Kaitangata,NZ,37.4,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
170,Cap Malheureux,MU,70.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
171,Gusinoye Ozero,RU,58.89,overcast clouds,51.1144,106.2614,Gusi-Lebedi Baza Otdykha
172,Peachland,CA,91.8,overcast clouds,49.7665,-119.7357,Wine Stopper B&B
174,Charlestown,AU,50.41,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
175,Tres Lagoas,BR,66.51,clear sky,-20.7511,-51.6783,Druds Express Hotel
176,Camana,PE,63.88,scattered clouds,-16.6228,-72.7111,Hostal Morales
177,Cabo San Lucas,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
178,Saint George,US,92.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
179,Lavumisa,SZ,66.49,clear sky,-27.31,31.892,ROADSIDE B&B
181,Deputatskiy,RU,48.38,clear sky,69.3,139.9,Baza Otdykha
184,Christchurch,NZ,39.9,overcast clouds,-43.5333,172.6333,The George
185,Maniitsoq,GL,43.09,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
186,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
187,Kishtwar,IN,70.61,broken clouds,33.3167,75.7667,Heritage Bagh by Himalayan Musk
188,Barrow,US,44.62,light rain,71.2906,-156.7887,King Eider Inn
189,Omboue,GA,72.48,broken clouds,-1.5746,9.2618,Hotel Olako
190,Tecoanapa,MX,85.3,overcast clouds,16.5167,-98.75,Hotel Manglares
